date,mcdi_plot_id,subplot,cardinal_direction,dpm_cm,sampled,dry_mass_g
2020-02-28,W26,5,N,6,TRUE,NA
2020-02-28,W26,5,E,3,NA,NA
2020-02-28,W26,5,S,5,NA,NA
2020-02-28,W26,5,W,5,NA,NA
2020-02-28,W26,6,N,NA,NA,NA
2020-02-28,W26,6,E,NA,NA,NA
2020-02-28,W26,6,S,NA,NA,NA
2020-02-28,W26,6,W,NA,NA,NA
2020-02-28,W26,7,N,7,TRUE,NA
2020-02-28,W26,7,E,11,NA,NA
2020-02-28,W26,7,S,8,NA,NA
2020-02-28,W26,7,W,3,NA,NA
2020-02-28,W26,8,N,23,TRUE,NA
2020-02-28,W26,8,E,2,NA,NA
2020-02-28,W26,8,S,2,TRUE,NA
2020-02-28,W26,8,W,17,NA,NA
2020-02-28,W26,9,N,8,NA,NA
2020-02-28,W26,9,E,10,NA,NA
2020-02-28,W26,9,S,6,TRUE,NA
2020-02-28,W26,9,W,7,TRUE,NA
2020-03-10,S3,1,N,27,NA,NA
2020-03-10,S3,1,E,25,NA,NA
2020-03-10,S3,1,S,40,NA,NA
2020-03-10,S3,1,W,40,NA,NA
2020-03-10,S3,2,N,50,NA,NA
2020-03-10,S3,2,E,40,TRUE,NA
2020-03-10,S3,2,S,45,NA,NA
2020-03-10,S3,2,W,50,NA,NA
2020-03-10,S3,3,N,40,NA,NA
2020-03-10,S3,3,E,52,TRUE,NA
2020-03-10,S3,3,S,20,NA,NA
2020-03-10,S3,3,W,40,NA,NA
2020-03-10,S3,4,N,67,TRUE,NA
2020-03-10,S3,4,E,23,NA,NA
2020-03-10,S3,4,S,26,TRUE,NA
2020-03-10,S3,4,W,40,TRUE,NA
2020-03-10,S3,5,N,8,TRUE,NA
2020-03-10,S3,5,E,22,NA,NA
2020-03-10,S3,5,S,36,TRUE,NA
2020-03-10,S3,5,W,35,NA,NA
2020-03-10,S3,6,N,40,NA,NA
2020-03-10,S3,6,E,36,NA,NA
2020-03-10,S3,6,S,40,NA,NA
2020-03-10,S3,6,W,36,TRUE,NA
2020-03-10,S3,7,N,22,NA,NA
2020-03-10,S3,7,E,17,NA,NA
2020-03-10,S3,7,S,28,NA,NA
2020-03-10,S3,7,W,27,TRUE,NA
2020-03-10,S3,8,N,12,NA,NA
2020-03-10,S3,8,E,55,NA,NA
2020-03-10,S3,8,S,53,NA,NA
2020-03-10,S3,8,W,23,NA,NA
2020-03-10,S3,9,N,20,NA,NA
2020-03-10,S3,9,E,48,NA,NA
2020-03-10,S3,9,S,29,NA,NA
2020-03-10,S3,9,W,33,NA,NA
2020-03-13,W9,1,N,38,NA,NA
2020-03-13,W9,1,E,18,NA,NA
2020-03-13,W9,1,S,30,NA,NA
2020-03-13,W9,1,W,28,NA,NA
2020-03-13,W9,2,N,20,NA,NA
2020-03-13,W9,2,E,24,NA,NA
2020-03-13,W9,2,S,40,TRUE,NA
2020-03-13,W9,2,W,38,NA,NA
2020-03-13,W9,3,N,28,TRUE,NA
2020-03-13,W9,3,E,40,NA,NA
2020-03-13,W9,3,S,36,TRUE,NA
2020-03-13,W9,3,W,46,NA,NA
2020-03-13,W9,4,N,25,NA,NA
2020-03-13,W9,4,E,26,TRUE,NA
2020-03-13,W9,4,S,23,NA,NA
2020-03-13,W9,4,W,15,NA,NA
2020-03-13,W9,5,N,29,NA,NA
2020-03-13,W9,5,E,38,NA,NA
2020-03-13,W9,5,S,28,TRUE,NA
2020-03-13,W9,5,W,21,NA,NA
2020-03-13,W9,6,N,20,NA,NA
2020-03-13,W9,6,E,18,NA,NA
2020-03-13,W9,6,S,20,NA,NA
2020-03-13,W9,6,W,28,TRUE,NA
2020-03-13,W9,7,N,25,NA,NA
2020-03-13,W9,7,E,36,NA,NA
2020-03-13,W9,7,S,30,TRUE,NA
2020-03-13,W9,7,W,17,NA,NA
2020-03-13,W9,8,N,30,TRUE,NA
2020-03-13,W9,8,E,40,TRUE,NA
2020-03-13,W9,8,S,28,NA,NA
2020-03-13,W9,8,W,18,NA,NA
2020-03-13,W9,9,N,35,NA,NA
2020-03-13,W9,9,E,25,NA,NA
2020-03-13,W9,9,S,40,NA,NA
2020-03-13,W9,9,W,20,NA,NA
