plot,scan_plot,tag,stem_id,distance_m,direction_deg,x_canopy_dim_m,y_canopy_dim_m,notes_scan,base_stem_id,height_m,dec_latitude,dec_longitude,species_binomial,dbh_cm
7,4,557,7_557,1.6,20,2.3,1.1,NA,7_557,1,-15.12913004,14.69231503,Brachystegia sp. plot_7,16
7,4,559,7_559,1.3,60,2.3,3,NA,7_559,4,-15.12916901,14.69234303,Combretum collinum,9
7,4,575,7_575,6,30,5.1,6.2,NA,7_575,13,-15.12913104,14.69237303,Brachystegia sp. plot_7,21.8
7,4,574,7_574,6.4,30,5.1,6.2,NA,7_574,13,-15.12913104,14.69237303,Brachystegia sp. plot_7,14.8
7,4,566,7_566,3.7,80,4.7,3.5,NA,7_566,7.4,-15.12914898,14.69237597,Brachystegia sp. plot_7,8.6
7,4,565,7_565,5.2,160,10.1,9.4,NA,7_564,17.4,-15.12916801,14.69239198,Brachystegia sp. plot_7,35.6
7,4,564,7_564,5.7,100,10.1,9.4,NA,7_564,17.4,-15.12916801,14.69239198,Brachystegia sp. plot_7,25.5
7,4,560,7_560,4.6,120,4.7,5.4,NA,7_560,17,-15.12917697,14.69235401,Brachystegia sp. plot_7,19.3
7,4,561,7_561,6.9,140,4.7,3.2,NA,7_561,3.8,-15.12920296,14.69237999,Combretum collinum,5.5
7,4,542,7_542,6.2,20,7.8,8.2,NA,7_540,13,-15.12925099,14.69229902,Brachystegia sp. plot_7,19.2
7,4,545,7_545,5.4,220,5.1,3.8,NA,7_545,10.6,-15.12909601,14.69226801,Brachystegia sp. plot_7,17.8
7,4,540,7_540,6.6,220,7.8,8.2,NA,7_540,13,-15.12925099,14.69229902,Brachystegia sp. plot_7,20.2
7,5,482,7_482,1.4,300,0.9,1.2,NA,7_482,3.6,-15.12911403,14.69196601,Combretum collinum,6.1
7,5,483,7_483,4,10,1.2,1,NA,7_483,3.6,-15.12908796,14.69197397,Pterocarpus lucens subsp. antunesi,6.8
7,5,485,7_485,4.1,10,1,1,NA,7_485,3.4,-15.12906298,14.69198101,Pterocarpus lucens subsp. antunesi,7.1
7,5,488,7_488,4.3,40,1.2,1.3,NA,7_488,3.8,-15.12908997,14.69198696,Combretum collinum,5
7,5,489,7_489,5,50,1.8,1.5,NA,7_489,3.8,-15.12907396,14.69201001,Combretum hereroense,6.2
7,6,953,7_953,6.4,40,0.9,1.8,NA,NA,NA,NA,NA,NA,NA
7,6,444,7_444,6.8,20,1.1,1.6,NA,7_444,4.2,-15.12902702,14.69167398,Burkea africana,6.2
7,6,455,7_455,6.6,60,1.9,1.8,NA,7_455,4.5,-15.129009,14.69176199,Combretum hereroense,8.5
7,7,723,7_723,3.4,120,1.5,2,Fallen,7_723,1.5,-15.12946003,14.69161497,Combretum collinum,6.2
7,7,717,7_717,3.6,340,0.8,1,NA,7_717,3,-15.12935601,14.69161598,Guibourtia coleosperma,6.6
7,7,718,7_718,3.2,340,0.5,1,NA,7_718,3,-15.12936297,14.691619,Combretum collinum,6.4
7,7,715,7_715,4.1,0,1,1,NA,7_715,3,-15.12939197,14.69158396,Guibourtia coleosperma,10
7,8,755,7_755,2.5,220,2.1,1.8,NA,7_755,3.8,-15.12948702,14.69194698,Combretum collinum,5.9
7,8,754,7_754,2.5,220,2.9,2.6,NA,7_754,4.8,-15.12948903,14.69192402,Terminalia sericea,8.8
7,8,753,7_753,4,260,1.6,2.1,NA,7_753,4.8,-15.12948199,14.69192603,Terminalia sericea,7.3
7,8,757,7_757,5.2,300,3.6,2.8,NA,7_757,4.6,-15.129454,14.69189703,Terminalia sericea,9
7,8,758,7_758,5.7,300,1.7,2.6,NA,7_758,4.6,-15.12945198,14.69189904,Terminalia sericea,8.7
7,8,760,7_760,1.5,340,1.4,1.5,NA,7_760,5.4,-15.12944997,14.69194396,Terminalia sericea,6
7,8,761,7_761,1.6,20,2.3,2.4,NA,7_761,4.8,-15.12945098,14.69194103,Terminalia sericea,6.1
7,8,762,7_762,1.4,20,2.3,2.3,NA,7_761,4.8,-15.12945098,14.69194103,Terminalia sericea,5.1
7,8,763,7_763,0.6,80,1.5,1.4,NA,7_763,5.2,-15.129469,14.69193701,Combretum collinum,8.6
7,9,795,7_795,4.2,210,1.6,0.8,NA,7_795,2.2,-15.12956497,14.69224404,Combretum collinum,7.1
7,9,838,7_838,3,190,14.9,13.8,NA,7_838,14.8,-15.12955802,14.69227002,Brachystegia sp. plot_7,61
7,9,796,7_796,3.4,260,2.2,2.3,NA,7_796,3.2,-15.12953002,14.69225502,Combretum collinum,7
7,9,797,7_797,3.8,280,2.1,2.1,NA,7_797,3,-15.12953203,14.69223297,Combretum collinum,5.7
7,9,798,7_798,4.5,290,1.6,1.3,NA,7_798,3,-15.12951401,14.692223,Combretum collinum,6.2
7,9,799,7_799,1.9,300,1.2,2.7,NA,7_799,3,-15.12950496,14.69224102,Combretum collinum,6.1
7,9,800,7_800,2.6,0,3,2.4,NA,7_800,3.2,-15.12949599,14.69224303,Combretum hereroense,7.7
7,9,801,7_801,5.4,340,2.5,2.8,NA,7_801,2.8,-15.12946296,14.69225099,Combretum collinum,6
7,9,834,7_834,4.1,60,1.3,1.7,NA,7_834,3.1,-15.129497,14.692296,Combretum collinum,5.4
7,9,833,7_833,4.2,70,1.7,2.2,NA,7_833,3.1,-15.12949004,14.69230598,Combretum collinum,6.6
7,9,835,7_835,4.9,80,2.6,2.2,NA,7_835,4.1,-15.12950999,14.69231696,Combretum collinum,6
8,1,30,8_30,4.3,132,1.3,1.4,NA,8_30,3.6,-15.10803203,14.87172598,Burkea africana,6.3
8,1,13,8_13,6.5,196,1.3,1.1,NA,8_13,5.2,-15.10805097,14.87146396,Terminalia sericea,6.7
8,1,14,8_14,5.4,2,1,2.8,NA,8_14,7,-15.10804997,14.87145902,Burkea africana,13.1
8,2,63,8_63,7.9,106,6.4,9.7,NA,8_63,16.4,-15.10806204,14.87190401,Burkea africana,40.5
8,2,62,8_62,4.3,162,1.1,1.1,NA,8_62,6.8,-15.10809498,14.87188096,Burkea africana,8.5
8,2,571,8_571,3.3,233,NA,NA,NA,8_571,5.6,-15.10807,14.87183603,Julbernardia paniculata,9
8,2,570,8_570,3.3,233,NA,NA,NA,8_570,5.8,-15.10807,14.87183603,Julbernardia paniculata,12
8,2,562,8_562,3,272,9.3,1.2,NA,8_562,1.5,-15.108055,14.87182698,Julbernardia paniculata,5.9
8,2,42,8_42,4.3,296,1.8,2.3,NA,8_42,6.6,-15.10797696,14.87200099,Julbernardia paniculata,8.1
8,3,94,8_94,3.6,48,2.4,2.8,NA,8_94,5.6,-15.10795299,14.87220299,Julbernardia paniculata,7.5
8,3,95,8_95,3.6,48,2.4,2.8,NA,8_94,5.6,-15.10796296,14.87220299,Julbernardia paniculata,8.5
8,3,73,8_73,2.8,189,6.4,4.8,NA,8_73,8,-15.10796498,14.87216502,Julbernardia paniculata,15.4
8,3,72,8_72,3.7,234,4.7,9.5,NA,8_72,13.2,-15.10796003,14.872132,Burkea africana,36.1
8,3,595,8_595,4.6,270,NA,NA,NA,8_595,3.8,-15.107984,14.87213502,Julbernardia paniculata,6.6
