"plot_id","subplot","hegyi","rich","ba_sum","ba_sd","ba_mean","cum_height","crown_area_sum","crown_area_mean","crown_area_sd","ba_cov","crown_area_cov"
"ABG_12","S7",2.98389173975548,6,651.055807548315,76.0954887948782,93.0079725069021,38.6,113.599990353807,16.2285700505438,12.7255684756377,81.8160924744716,78.4146011386337
"ABG_12","S8",1.75776185890795,2,161.422884523078,17.9801300351719,40.3557211307694,22,51.8991106373034,12.9747776593258,4.42789996833458,44.554104179947,34.1269814758787
"ABG_12","S9",3.08299731786203,4,1492.65706351848,470.533979303624,298.531412703697,36,423.046866732401,84.6093733464803,124.762130399794,157.616237112925,147.456629762386
"ABG_13","S1",1.81353326877762,1,829.576810088555,NA,829.576810088555,8.8,102.290256800884,102.290256800884,NA,NA,NA
"ABG_13","S2",1.99770165818372,1,789.238760416462,NA,789.238760416462,6.6,36.1911473693544,36.1911473693544,NA,NA,NA
"ABG_13","S3",1.82012495390556,3,121.202644575494,4.29594847147832,30.3006611438736,10.4,32.6097317442621,8.15243293606551,5.06699712869274,14.1777384033976,62.1531899548278
"ABG_13","S4",2.05572501506252,1,490.873852123405,NA,490.873852123405,7,0,NA,NA,NA,NA
"ABG_13","S5",3.08007342198774,1,2324.27590883187,NA,2324.27590883187,13.2,314.033601652836,314.033601652836,NA,NA,NA
"ABG_13","S6",1.65292302437384,1,2099.28289696341,NA,2099.28289696341,11.4,305.896876680038,305.896876680038,NA,NA,NA
"ABG_13","S8",1.55251183065886,1,93.3210097748848,6.87912103860653,31.1070032582949,11.2,10.7128309487412,5.3564154743706,3.97638022965174,22.1143804225891,74.235843889966
"ABG_13","S9",3.53216459990561,2,4071.10352598904,1341.33247511079,581.586217998434,38.6,974.741952629305,139.248850375615,338.931075834271,230.633469913898,243.399550459502
"ABG_14","S1",2.50378167874491,3,729.030137210413,263.216790753991,182.257534302603,18.6,116.301760035894,29.0754400089735,37.3072163390557,144.420252233288,128.311785918086
"ABG_14","S2",3.27346115487282,2,1274.15144047968,159.036224870087,254.830288095936,36.1,658.980475016995,164.745118754249,139.431720390107,62.4086822874897,84.634811303938
"ABG_14","S3",2.98259495073096,3,509.448518687755,45.2294511387209,72.7783598125364,28.6,258.55307539044,36.9361536272057,63.0336191688527,62.1468404278739,170.655612398213
"ABG_14","S4",0.040005334613699,1,20.4282062299676,NA,20.4282062299676,2.4,6.1261056745001,6.1261056745001,NA,NA,NA
"ABG_14","S5",3.69657225125085,3,3012.04908051902,727.484084125114,430.292725788431,48.4,892.118065839894,127.445437977128,261.269774208944,169.067251321094,205.005199366833
"ABG_14","S6",3.08482270918353,2,915.318727586654,161.168074405189,152.553121264442,27.4,230.153077801988,38.3588463003314,39.2572241402019,105.647182482627,102.342035609822
"ABG_14","S7",3.20976822014942,2,1230.28695305393,338.702410621866,307.571738263483,28.8,324.840680381185,81.2101700952961,94.6720323135318,110.12143460714,116.576571878176
"ABG_14","S8",2.05183801841469,2,445.11655512387,37.5804086525652,148.37218504129,22,107.568132458915,35.8560441529715,14.2166121784763,25.3284728819671,39.6491373053437
"ABG_14","S9",-0.124052648669979,1,22.0618344098343,NA,22.0618344098343,3.2,1.88495559215388,1.88495559215388,NA,NA,NA
