"plot_id","plot_name","subplot","target","point_id","lon","lat","ground_elev","antenna_elev","target_offset","target_elev","country","utm","centre"
"ABG_13","P13","S9","T1","P13S9T1",480444.3555,8319706.5319,1245.9744,0.68,0.165,1246.8194,"AGO","33S",FALSE
"ABG_13","P13","S9","T2","P13S9T2",480439.7529,8319691.184,1245.3822,0.645,0.165,1246.1922,"AGO","33S",FALSE
"ABG_13","P13","S9","T3","P13S9T3",480424.2785,8319694.094,1244.856,0.658,0.165,1245.679,"AGO","33S",FALSE
"ABG_13","P13","S9","T4","P13S9T4",480428.4183,8319707.975,1245.5095,0.61,0.165,1246.2845,"AGO","33S",FALSE
"ABG_13","P13","S9","TC","P13S9TC",480434.3235,8319700.3267,1245.6244,0.676,0.165,1246.4654,"AGO","33S",TRUE
"ABG_15","P15","S1","T1","P15S1T1",470081.0869,8326963.2075,1283.521,0.656,0.165,1284.342,"AGO","33S",FALSE
"ABG_15","P15","S1","T2","P15S1T2",470079.8893,8326949.9158,1283.8969,0.64,0.165,1284.7019,"AGO","33S",FALSE
"ABG_15","P15","S1","T3","P15S1T3",470068.5196,8326952.6625,1283.7546,0.69,0.165,1284.6096,"AGO","33S",FALSE
"ABG_15","P15","S1","T4","P15S1T4",470070.4136,8326965.7935,1283.3715,0.691,0.165,1284.2275,"AGO","33S",FALSE
"ABG_15","P15","S2","T1","P15S2T1",470115.5989,8326963.2576,1283.6996,0.687,0.165,1284.5516,"AGO","33S",FALSE
"ABG_15","P15","S2","T2","P15S2T2",470119.0093,8326949.7027,1284.0341,0.686,0.165,1284.8851,"AGO","33S",FALSE
"ABG_15","P15","S2","T3","P15S2T3",470098.2735,8326953.3173,1284.1476,1.437,0.165,1285.7496,"AGO","33S",FALSE
"ABG_15","P15","S2","T4","P15S2T4",470103.2397,8326962.7881,1283.6238,0.653,0.165,1284.4418,"AGO","33S",FALSE
"ABG_15","P15","S2","TC","P15S2TC",470109.9444,8326956.3883,1283.9006,0.576,0.165,1284.6416,"AGO","33S",TRUE
"ABG_15","P15","S3","T1","P15S3T1",470149.1317,8326959.4271,1283.3826,0.709,0.165,1284.2566,"AGO","33S",FALSE
"ABG_15","P15","S3","T2","P15S3T2",470146.262,8326946.0522,1284.3172,0.626,0.165,1285.1082,"AGO","33S",FALSE
"ABG_15","P15","S3","T3","P15S3T3",470138.4257,8326948.2752,1284.6632,0.667,0.165,1285.4952,"AGO","33S",FALSE
"ABG_15","P15","S3","T4","P15S3T4",470139.6124,8326959.2028,1284.3715,0.739,0.165,1285.2755,"AGO","33S",FALSE
"ABG_15","P15","S4","T1","P15S4T1",470142.9378,8326922.6322,1284.9581,0.641,0.165,1285.7641,"AGO","33S",FALSE
"ABG_15","P15","S4","T3","P15S4T3",470128.1258,8326914.0871,1285.1364,0.684,0.165,1285.9854,"AGO","33S",FALSE
"ABG_15","P15","S4","TC","P15S4TC",470136.7667,8326919.0317,1285.0829,0.673,0.165,1285.9209,"AGO","33S",TRUE
"ABG_15","P15","S5","T2","P15S5T2",470107.8549,8326914.2499,1285.032,0.672,0.165,1285.869,"AGO","33S",FALSE
"ABG_15","P15","S5","T3","P15S5T3",470095.8673,8326916.3636,1284.8906,0.679,0.165,1285.7346,"AGO","33S",FALSE
"ABG_15","P15","S5","T4","P15S5T4",470096.8112,8326927.4368,1284.5724,0.64,0.165,1285.3774,"AGO","33S",FALSE
"ABG_15","P15","S6","T1","P15S6T1",470071.2875,8326931.3418,1284.4852,1.215,0.165,1285.8652,"AGO","33S",FALSE
"ABG_15","P15","S6","T2","P15S6T2",470075.5916,8326917.6537,1284.7959,0.679,0.165,1285.6399,"AGO","33S",FALSE
"ABG_15","P15","S6","T3","P15S6T3",470060.6091,8326917.0307,1284.7698,0.691,0.165,1285.6258,"AGO","33S",FALSE
"ABG_15","P15","S6","T4","P15S6T4",470063.0679,8326930.6269,1284.3187,0.694,0.165,1285.1777,"AGO","33S",FALSE
"ABG_15","P15","S6","TC","P15S6TC",470067.3853,8326924.2004,1284.6418,0.695,0.165,1285.5018,"AGO","33S",TRUE
"ABG_15","P15","S7","T1","P15S7T1",470066.9834,8326893.5967,1285.477,0.688,0.165,1286.33,"AGO","33S",FALSE
"ABG_15","P15","S7","T2","P15S7T2",470064.4114,8326881.4792,1285.6643,0.744,0.165,1286.5733,"AGO","33S",FALSE
"ABG_15","P15","S7","T3","P15S7T3",470053.0841,8326882.3323,1285.6914,0.744,0.165,1286.6004,"AGO","33S",FALSE
"ABG_15","P15","S7","T4","P15S7T4",470054.3222,8326895.422,1285.3199,0.715,0.165,1286.1999,"AGO","33S",FALSE
