"","lon","lat","elev","receiver_name","receiver_sat_sys","antenna_name"
"TONG00TON","-175.179","-21.145","56.732","SEPT POLARX5","GPS+BDS+GLO+QZSS+GAL","TRM59800.00"
"TOPL00BRA","-48.331","-10.171","256.929","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM115000.00"
"TORP00USA","-118.331","33.798","-4.798","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"TOW200AUS","147.056","-19.269","88.641","SEPT POLARX5","GPS+QZSS+GLO+GAL+BDS","LEIAR25.R3"
"TRAK00USA","-117.803","33.618","115.950","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"TRO100NOR","18.940","69.663","138.415","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM59800.00"
"TSK200JPN","140.087","36.106","70.350","TRIMBLE ALLOY","GPS+GLO+GAL+QZSS","TRM159900.00"
"TSKB00JPN","140.087","36.106","67.677","TRIMBLE ALLOY","GPS+GLO+QZSS","AOAD/M_T"
"TUBI00TUR","29.451","40.787","222.255","TRIMBLE 5700","GPS","TRM29659.00"
"TUVA00TUV","179.197","-8.525","38.826","TRIMBLE NETR9","GPS+QZSS+GLO+GAL","JAVRINGANT_DM"
"TWTF00TWN","121.164","24.954","203.529","SEPT POLARX4TR","GPS+GLO+GAL+BDS+QZSS+SBAS","ASH701945C_M"
"UCAL00CAN","-114.134","51.080","1119.238","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM57971.00"
"UCLP00USA","-118.442","34.069","111.960","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"UCLU00CAN","-125.542","48.926","10.487","SEPT POLARX5","GPS+GLO+GAL+BDS","SEPCHOKE_B3E6"
"UFPR00BRA","-49.231","-25.448","926.179","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM115000.00"
"ULAB00MNG","107.052","47.865","1576.101","JAVAD TRE_3","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","JAVRINGANT_G5T"
"ULDI00ZAF","31.421","-28.293","608.362","TRIMBLE NETR9","GPS+GLO","ASH701941.B"
"UNB300CAN","-66.642","45.950","23.320","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","TRM57971.00"
"UNBD00CAN","-66.641","45.950","23.545","JAVAD TRE_G2T DELTA","GPS+GAL+SBAS","TRM55971.00"
"UNBJ00CAN","-66.642","45.950","23.221","TPS LEGACY","GPS+GLO","TRM57971.00"
"UNBN00CAN","-66.642","45.950","23.320","NOV OEM6","GPS+GLO+SBAS","TRM57971.00"
"UNSA00ARG","-65.408","-24.727","1258.213","SEPT ASTERX4","GPS+GLO+GAL+BDS+SBAS","SEPCHOKE_B3E6"
"UNX200AUS","151.232","-33.918","87.491","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS+IRNSS+SBAS","LEIAR25.R3"
"UNX300AUS","151.232","-33.918","87.491","SEPT POLARX4","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R3"
"URAL00RUS","60.615","56.838","278.057","TRIMBLE R9S","GPS+GLO+GAL+QZSS+SBAS","CHCC220GR2"
"URUM00CHN","87.601","43.808","859.352","JAVAD TRE_3","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","JAVRINGANT_G5T"
"USN700USA","-77.066","38.921","59.346","SEPT POLARX5TR","GPS+GLO+GAL+BDS","TPSCR.G5"
"USN800USA","-77.066","38.921","59.346","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","TPSCR.G5"
"USN900USA","-77.066","38.921","59.346","NOV OEM6","GPS+GLO+GAL+BDS+SBAS","TPSCR.G5"
"USNO00USA","-77.066","38.919","49.291","ASHTECH Z-XII3T","GPS","AOAD/M_T"
"USP100FJI","178.446","-18.149","70.966","PANDA PD51A","GPS+GLO+GAL+BDS","HXCCGX601A"
"USUD00JPN","138.362","36.133","1509.039","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS","AOAD/M_T"
"UTQI00USA","-156.615","71.323","12.565","JAVAD TR_G3TH","GPS+GLO+GAL","JAV_GRANT-G3T"
"UZHL00UKR","22.298","48.632","232.475","NOV OEMV3","GPS+GLO","NOV702GG"
