"","lon","lat","elev","receiver_name","receiver_sat_sys","antenna_name"
"MOBK00RUS","36.570","55.115","183.046","JPS EGGDT","GPS+GLO","JPSREGANT_SD_E1"
"MOBN00RUS","36.570","55.115","183.066","ASHTECH UZ-12","GPS","ASH701945C_M"
"MOBS00AUS","144.975","-37.829","41.000","SEPT POLARX5","GPS+QZSS+GLO+GAL+IRNSS+BDS","ASH701945C_M"
"MOIU00KEN","35.290"," 0.288","2201.932","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","ASH701945E_M"
"MONP00USA","-116.422","32.892","1842.957","TPS NET-G3A","GPS","ASH701945B_M"
"MORP00GBR","-1.685","55.213","144.893","TRIMBLE NETR8","GPS","AOAD/M_T"
"MQZG00NZL","172.655","-43.703","155.125","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"MRC100USA","-77.371","38.499","27.622","SEPT POLARX5","GPS+GLO+GAL+BDS","SEPCHOKE_B3E6"
"MRL100NZL","173.741","-41.576","147.652","ITT 3750300","GPS","TPSCR.G5"
"MRL200NZL","173.741","-41.576","147.652","ITT 3750300","GPS","TPSCR.G5"
"MRO100AUS","116.637","-26.697","354.480","TRIMBLE NETR9","GPS+QZSS+GLO+GAL+BDS","TRM59800.00"
"MTKA00JPN","139.561","35.680","109.432","TRIMBLE NETR9","GPS+GLO","ASH701073.1"
"MTV100URY","-56.176","-34.914","41.138","ITT 3750300","GPS","TPSCR.G5"
"MTV200URY","-56.176","-34.914","41.138","ITT 3750300","GPS","TPSCR.G5"
"NAIN00CAN","-61.689","56.537","33.925","ASHTECH UZ-12","GPS","ASH701945D_M"
"NANO00CAN","-124.086","49.295"," 6.989","SEPT POLARX5","GPS+GLO+GAL+BDS","SEPCHOKE_B3E6"
"NAUR00NRU","166.926","-0.552","46.678","SEPT POLARX4TR","GPS+GLO+GAL+BDS+QZSS","LEIAR25.R3"
"NCKU00TWN","120.223","22.997","98.625","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM"
"NICO00CYP","33.396","35.141","192.145","LEICA GR50","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"NIST00USA","-105.263","39.995","1648.912","NOV OEM4-G2","GPS","NOV702"
"NIUM00NIU","-169.927","-19.077","90.527","TRIMBLE NETR9","GPS+QZSS+GLO+GAL+BDS","TRM59800.00"
"NKLG00GAB"," 9.672"," 0.354","31.890","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS+IRNSS","TRM59800.00"
"NLIB00USA","-91.575","41.772","207.467","SEPT POLARX5TR","GPS+GLO+GAL+BDS","JAVRINGANT_DM"
"NNOR00AUS","116.193","-31.049","235.248","SEPT POLARX5TR","GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS","SEPCHOKE_B3E6"
"NOT100ITA","14.990","36.876","126.657","LEICA GR30","GPS+GLO+GAL+BDS+SBAS","LEIAR20"
"NOVM00RUS","82.909","55.031","150.418","JPS LEGACY","GPS+GLO","JPSREGANT_SD_E1"
"NRC100CAN","-75.624","45.454","82.907","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL","AOAD/M_T"
"NRIL00RUS","88.360","69.362","48.343","ASHTECH UZ-12","GPS","ASH701945B_M"
"NRMD00NCL","166.485","-22.228","160.792","TRIMBLE NETR9","GPS+GLO+QZSS+GAL+BDS","TRM57971.00"
"NTUS00SGP","103.680"," 1.346","78.867","LEICA GR50","GPS+GLO+GAL+BDS+QZSS","LEIAR20"
"NVSK00RUS","83.235","54.841","124.080","TRIMBLE NETR9","GPS+GLO","TRM57971.00"
"NYA100NOR","11.865","78.930","84.130","TRIMBLE NETR8","GPS+GLO","ASH701073.1"
"NYA200NOR","11.859","78.930","81.914","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","JAVRINGANT_G5T"
"NYAL00NOR","11.865","78.930","79.443","TRIMBLE NETR9","GPS+GLO+GAL+BDS","AOAD/M_B"
"OAK100GBR","-0.905","51.118","140.081","ITT 3750300","GPS","TPSCR.G5"
"OAK200GBR","-0.905","51.118","140.081","ITT 3750300","GPS","TPSCR.G5"
"OBE400DEU","11.278","48.085","650.987","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"OHI200ATA","-57.901","-63.321","33.594","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+SBAS","LEIAR25.R4"
"OHI300ATA","-57.901","-63.321","32.674","LEICA GR50","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"ONS100SWE","11.925","57.395","44.858","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"ONSA00SWE","11.926","57.395","45.974","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","AOAD/M_B"
"OP7100FRA"," 2.335","48.836","124.987","SEPT POLARX4TR","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"OPMT00FRA"," 2.335","48.836","123.015","ASHTECH Z-XII3T","GPS","3S-02-TSADM"
"ORID00MKD","20.794","41.127","773.417","LEICA GR30","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"OSN300KOR","127.034","37.083","64.863","ITT 3750300","GPS","TPSCR.G5"
"OSN400KOR","127.034","37.083","64.863","ITT 3750300","GPS","TPSCR.G5"
"OUS200NZL","170.511","-45.869","26.545","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","SEPCHOKE_B3E6"
"OWMG00NZL","-176.369","-44.024","22.027","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM59800.00"
"PADO00ITA","11.896","45.411","65.126","STONEX SC2200","GPS+GLO+GAL+BDS+IRNSS+SBAS","STXSA1500"
"PALM00ATA","-64.051","-64.775","31.685","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+QZSS","ASH700936D_M"
"PARC00CHL","-70.880","-53.137","22.725","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM57971.00"
"PARK00AUS","148.265","-32.999","397.774","SEPT POLARX5TR","GPS+QZSS+GLO+GAL+BDS","ASH701945C_M"
"PDEL00PRT","-25.663","37.748","111.180","LEICA GRX1200GGPRO","GPS+GLO","LEIAT504GG"
"PEN200HUN","19.282","47.790","294.479","LEICA GR50","GPS+GLO+GAL+BDS","LEIAR20"
"PENC00HUN","19.282","47.790","292.144","LEICA GRX1200GGPRO","GPS+GLO","LEIAT504GG"
"PERT00AUS","115.885","-31.802","13.188","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"PETS00RUS","158.650","53.023","102.604","JAVAD TRE_G3TH DELTA","GPS+GLO","ASH701933B_M"
"PGEN00PHL","125.132"," 6.065","121.525","LEICA GR50","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25"
"PICL00CAN","-90.162","51.480","315.531","SEPT POLARX5","GPS+GLO+GAL","TWIVC6150"
"PIE100USA","-108.119","34.302","2348.129","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","ASH701945E_M"
"PIMO00PHL","121.078","14.636","95.936","JAVAD TRE_G3TH DELTA","GPS+GLO+BDS+QZSS","ASH701945C_M"
"PIN100USA","-116.458","33.612","1256.573","TPS NET-G3A","GPS","ASH701945B_M"
"PNGM00PNG","147.366","-2.043","116.751","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"POAL00BRA","-51.120","-30.074","77.155","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM115000.00"
"POHN00FSM","158.210"," 6.960","91.101","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM"
"POL200KGZ","74.694","42.680","1714.630","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+QZSS","TPSCR.G3"
"POLV00UKR","34.543","49.603","178.551","LEICA GR10","GPS+GLO+GAL","LEIAR10"
"POTS00DEU","13.066","52.379","144.853","JAVAD TRE_3","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","JAVRINGANT_G5T"
"POVE00BRA","-63.896","-8.709","119.975","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM115000.00"
