"plot_id","rich","diam_sd","diam_mean","ba","agb","stem_dens","tree_dens","diam_cov","tree_shannon","mi_mean","hegyi_sum","hegyi_mean","hegyi_sd","hegyi_cov","MDS1","MDS2","site","seosaw_id","paper_plot_id","bray_clust","man_clust","wi_mean"
"P6",20,5.87843153611299,10.095652173913,81329.8333594714,35.5104531297312,761,609,58.2273580235137,1.16053867222683,0.137979094076655,2549.15824797199,4.44104224385365,4.03823107700413,90.9298055561844,0.0592897267942994,-0.665651592994791,"Bicuar","ABG_6","B6",1,"1",0.614982578397213
"P7",18,6.71411054227436,9.5079185520362,94027.1298476689,42.9769432226303,884,743,70.6159871430164,1.83307619129671,0.317967698519515,2594.37424356369,3.49175537491748,3.33247889202176,95.4384982395998,0.0363564044793656,0.12989233322091,"Bicuar","ABG_7","B7",1,"1",0.618775235531628
"P8",13,6.47491992625808,11.2954887218045,88501.7987902964,42.1891976895841,665,575,57.3230613187995,1.7370370381517,0.340260869565217,1991.28266643916,3.46310028945941,3.55969081468899,102.789134508278,-0.175460178586369,-0.313989039751525,"Bicuar","ABG_8","B8",1,"1",0.624347826086956
"P9",7,13.1428178678989,19.7240310077519,113697.536805701,77.4125481695313,259,207,66.6335287281464,0.905317616192269,0.182125603864734,622.255996869176,3.00606761772549,4.72458575656667,157.168312805335,1.25366463004417,-0.251176564040205,"Bicuar","ABG_9","B9",2,"3",0.61231884057971
"S3",10,2.63710319637553,8.30148367952522,20075.4682068226,8.58803237793273,361,295,31.7666491699512,1.50353576726463,0.389830508474576,478.454719656765,1.62188040561615,1.48899022591072,91.8064131457989,-0.72492585463112,1.04208658735458,"Mtarure","TKW_7","M1",3,"4",0.633898305084746
"S5",26,10.4722766717962,14.3407862407862,100710.279169559,78.5690210717009,411,327,73.0244248534458,2.57220813932544,0.522018348623853,826.530218041769,2.52761534569348,2.6580314631882,105.159650487046,-0.573281835178607,-0.0126778740091664,"Mtarure","TKW_9","M2",1,"2",0.620030581039755
"S7",14,4.52620391005697,8.92347417840376,16732.1146190376,9.06747246776711,215,176,50.7224408292805,1.59773594716408,0.354285714285714,265.725887977098,1.51843364558342,1.93927251289902,127.715328130385,-0.204197404941893,1.42282629247491,"Mtarure","TKW_10","M3",3,"4",0.625714285714286
"W11",23,10.4486362430611,12.2852494577007,94088.775749514,71.9651033542135,461,373,85.0502570504309,1.44336660237611,0.267560321715818,1145.34202971261,3.07062206357268,4.03527742521273,131.41563310848,-0.85196340042502,0.0717371289823891,"Mtarure","TKW_13","M5",1,"2",0.613941018766756
"W18",22,11.4552064647654,13.9530864197531,82831.027701026,66.4942094098796,324,247,82.0980112941071,1.94377503716438,0.425101214574899,510.257374622689,2.06581933045623,2.52737643606647,122.3425688203,-0.669467574868235,-0.0341036986914209,"Mtarure","TKW_19","M6",1,"2",0.623481781376518
"W26",43,7.37301351799375,11.1808249721293,126325.388388291,78.4303703356475,904,685,65.9433765967414,2.37322218397362,0.375365497076023,2552.36642420448,3.73152985994807,3.12118214020118,83.643498976171,-0.992875174583966,0.342156666037163,"Mtarure","TKW_21","M7",1,"2",0.589181286549708
"W9",13,9.18732751730059,14.1241758241758,60805.6122040284,34.8865179741967,274,182,65.0468220706725,1.91434557698948,0.404972375690608,344.491744158828,1.9032693047449,3.4801979612593,182.853679854084,-1.20944101012692,-0.561483252940422,"Mtarure","TKW_25","M4",4,"3",0.62292817679558
