"plot_id","subplot","stem_tag_id","tree_tag_id","distance","direction","diam","x_dim","y_dim","height","species"
"ABG_7","S3","7_182","7_182",4,298,5.9,2.5,1.5,5.8,"Bridelia mollis"
"ABG_7","S3","7_183","7_183",4,298,7.3,2.5,1.5,5.8,"Bridelia mollis"
"ABG_7","S3","7_185","7_185",3.2,328,15.6,6.1,3.8,8.4,"Burkea africana"
"ABG_7","S4","7_558","7_558",1.4,240,6.5,3,3,2.6,"Combretum collinum"
"ABG_7","S4","7_554","7_553",5.6,320,12.3,5.6,3.4,8.4,"Brachystegia sp. plot_7"
"ABG_7","S4","7_553","7_553",5.9,320,13.2,5.6,3.4,10.8,"Brachystegia sp. plot_7"
"ABG_7","S4","7_555","7_553",3.8,340,6.9,3.8,2.3,3.2,"Terminalia sericea"
"ABG_7","S4","7_556","7_556",1,20,21.6,5.6,4,4.6,"Brachystegia sp. plot_7"
"ABG_7","S4","7_557","7_557",1.6,20,16,2.3,1.1,1,"Brachystegia sp. plot_7"
"ABG_7","S4","7_559","7_559",1.3,60,9,2.3,3,4,"Combretum collinum"
"ABG_7","S4","7_575","7_575",6,30,21.8,5.1,6.2,13,"Brachystegia sp. plot_7"
"ABG_7","S4","7_574","7_574",6.4,30,14.8,5.1,6.2,13,"Brachystegia sp. plot_7"
"ABG_7","S4","7_566","7_566",3.7,80,8.6,4.7,3.5,7.4,"Brachystegia sp. plot_7"
"ABG_7","S4","7_565","7_564",5.2,160,35.6,10.1,9.4,17.4,"Brachystegia sp. plot_7"
"ABG_7","S4","7_564","7_564",5.7,100,25.5,10.1,9.4,17.4,"Brachystegia sp. plot_7"
"ABG_7","S4","7_560","7_560",4.6,120,19.3,4.7,5.4,17,"Brachystegia sp. plot_7"
"ABG_7","S4","7_561","7_561",6.9,140,5.5,4.7,3.2,3.8,"Combretum collinum"
"ABG_7","S4","7_542","7_540",6.2,20,19.2,7.8,8.2,13,"Brachystegia sp. plot_7"
"ABG_7","S4","7_545","7_545",5.4,220,17.8,5.1,3.8,10.6,"Brachystegia sp. plot_7"
"ABG_7","S4","7_540","7_540",6.6,220,20.2,7.8,8.2,13,"Brachystegia sp. plot_7"
"ABG_7","S5","7_482","7_482",1.4,300,6.1,0.9,1.2,3.6,"Combretum collinum"
"ABG_7","S5","7_483","7_483",4,10,6.8,1.2,1,3.6,"Pterocarpus lucens subsp. antunesi"
"ABG_7","S5","7_485","7_485",4.1,10,7.1,1,1,3.4,"Pterocarpus lucens subsp. antunesi"
"ABG_7","S5","7_488","7_488",4.3,40,5,1.2,1.3,3.8,"Combretum collinum"
"ABG_7","S5","7_489","7_489",5,50,6.2,1.8,1.5,3.8,"Combretum hereroense"
"ABG_7","S6","7_953",NA,6.4,40,NA,0.9,1.8,NA,NA
