plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P13,S7,E,0.294963246,ABG_13,8,FALSE,19/03/2019,NA
P13,S7,N,0.264346423,ABG_13,7,TRUE,19/03/2019,37.09
P13,S7,S,0.362656986,ABG_13,14,FALSE,19/03/2019,NA
P13,S7,W,0.346471472,ABG_13,17,FALSE,19/03/2019,NA
P13,S8,E,0.237557141,ABG_13,7,FALSE,19/03/2019,NA
P13,S8,N,0.551228777,ABG_13,24,FALSE,19/03/2019,NA
P13,S8,S,0.259042191,ABG_13,39,FALSE,19/03/2019,NA
P13,S8,W,0.173995037,ABG_13,8,FALSE,19/03/2019,NA
P13,S9,E,0.192891057,ABG_13,17,FALSE,19/03/2019,NA
P13,S9,N,0.355576797,ABG_13,26,FALSE,19/03/2019,NA
P13,S9,S,0.87806586,ABG_13,29,TRUE,19/03/2019,101.85
P13,S9,W,0.191286386,ABG_13,14,FALSE,19/03/2019,NA
P14,S1,E,0.327040797,ABG_14,27,FALSE,21/03/2019,NA
P14,S1,N,0.278271367,ABG_14,42,FALSE,21/03/2019,NA
P14,S1,S,0.263768554,ABG_14,22,FALSE,21/03/2019,NA
P14,S1,W,0.281948513,ABG_14,4,TRUE,21/03/2019,11.17
P14,S2,E,0.160201189,ABG_14,7,FALSE,21/03/2019,NA
P14,S2,N,0.127574811,ABG_14,9,FALSE,21/03/2019,NA
P14,S2,S,0.277839632,ABG_14,8,FALSE,21/03/2019,NA
P14,S2,W,0.27606196,ABG_14,3,FALSE,21/03/2019,NA
P14,S3,E,0.237710964,ABG_14,30,FALSE,21/03/2019,NA
P14,S3,N,0.232444183,ABG_14,24,FALSE,21/03/2019,NA
P14,S3,S,0.210334857,ABG_14,8,TRUE,21/03/2019,22.38
P14,S3,W,0.220802707,ABG_14,6,FALSE,21/03/2019,NA
P14,S4,E,0.333879336,ABG_14,19,FALSE,21/03/2019,NA
P14,S4,N,0.296178713,ABG_14,17,FALSE,21/03/2019,NA
P14,S4,S,0.304864166,ABG_14,22,FALSE,21/03/2019,NA
P14,S4,W,0.511278811,ABG_14,15,FALSE,21/03/2019,NA
P14,S5,E,0.24780755,ABG_14,5,TRUE,21/03/2019,8.56
P14,S5,N,0.207898984,ABG_14,4,TRUE,21/03/2019,7.23
P14,S5,S,0.205784769,ABG_14,24,FALSE,21/03/2019,NA
P14,S5,W,0.187773409,ABG_14,9,FALSE,21/03/2019,NA
P14,S6,E,0.187090806,ABG_14,8,FALSE,21/03/2019,NA
P14,S6,N,0.311635935,ABG_14,7,FALSE,21/03/2019,NA
P14,S6,S,0.272656456,ABG_14,14,FALSE,21/03/2019,NA
P14,S6,W,0.169854576,ABG_14,17,TRUE,21/03/2019,46.26
P14,S7,E,0.078572901,ABG_14,9,FALSE,21/03/2019,NA
P14,S7,N,0.125260494,ABG_14,5,FALSE,21/03/2019,NA
