"plot_id","subplot","layer_div","auc_canopy","height_q95","height_q99","dens_peak_height","point_cov","shannon","cum_lm_resid","cum_lm_slope","cum_lm_se","weib_shape","weib_scale","n_maxima","n_minima"
"ABG_13","S9",14.4897270405715,31082.73375,9.75,11.2,6.55,0.722374132076052,2.77157437686385,1569.47195690131,4520119.49367571,62731.9137210781,1.47305738497625,68675.2835064255,1,0
"ABG_14","S1",16.0855890453888,18020.62,15,16.95,4.9,1.42546910682607,2.90273405228147,2287.29895823375,2153044.76208363,48788.178319098,0.965409929135072,21644.3772451096,3,5
"ABG_14","S2",13.6378782388478,23551.47375,11.45,13.4,10.8,0.901385069517467,2.82096132956658,1993.76880296433,3388425.18611345,63339.6509130813,1.15487335111162,40522.4250299636,4,3
"ABG_14","S3",11.0933511261221,13515.31375,8.9,11.1,6.95,0.768323462663027,2.72691331710941,725.156202520277,1975166.75698681,29890.5687083763,1.36348927102716,29666.2595458733,3,2
"ABG_14","S4",9.98251624848305,26131.14875,14.4,15.5,5.2,1.58398862938578,2.29576070034345,2442.18949591073,1771601.88026645,99381.9859593689,0.702072534734278,32997.7472215401,3,2
"ABG_14","S5",15.7797588734877,18988.145,13.1,13.6,12.7,0.487811041119482,3.06626682745436,592.374252054638,2247413.89103141,21105.3602720151,2.25174694098384,36685.3633358015,3,3
"ABG_14","S6",9.05854279379555,12265.275,7.9,10.1,7.75,0.875500070563186,2.64770281103111,847.307568176643,1710598.21496227,39400.406552921,1.06374912219211,24625.5435900785,2,3
"ABG_14","S7",14.9045656382003,30620.14,11.55,11.85,11.45,0.722897594601864,2.7906430756244,1406.51822937814,3565528.59806355,59781.1706280025,1.45897043278655,67925.4503845391,2,1
"ABG_14","S8",7.79526481589729,7391.44875,7.35,8.7,6.2,0.842452218785682,2.44490269463949,415.212853395452,1128343.7643164,22283.2079869221,1.04523791638039,18172.5974453343,1,2
"ABG_14","S9",12.9105916515559,12821.915,13.7,15.8,7.3,0.980992977166558,3.01894130635956,1484.90730922745,1713797.18958859,32835.7086200663,1.1034529139896,17326.5010105188,2,2
"ABG_15","S1",13.004472197329,19293.61375,11,12.05,9.65,0.703591797898727,2.80456405100148,1348.50043396395,2621251.30437111,49622.8208331394,1.42642841301288,40393.0494836842,1,1
"ABG_15","S2",9.60803316635308,22407.10125,12.05,12.95,10.75,0.899804245618317,2.69052870711334,2452.05436697231,2738292.24410277,80931.3977329416,0.889763003317422,38120.8520109859,1,1
"ABG_15","S3",12.1177189097461,13413.41,10.95,12.3,9.45,0.764078905099926,2.78676084751993,1018.38408649183,1891760.89787116,36140.3625790772,1.23282814343858,26466.6463736213,1,2
"ABG_15","S4",10.9291372586184,25080.76875,11.4,12.65,8.55,0.651775010598408,2.91052814837125,1664.11275657434,3412606.44777512,56990.8289894823,1.59993564692814,49693.807959387,1,2
"ABG_15","S5",9.49007132850073,11785.17875,11,12.2,9.2,0.682511068973181,2.81870655032231,729.138847568213,1649206.19658955,26589.8546020522,1.30147560856238,23929.6584281472,3,3
"ABG_15","S6",12.6317078126771,25790.455,10.7,14.65,6.8,0.890358843046679,2.97870997254476,2814.40323856052,3645133.67898346,66821.201785046,1.10543972214876,37817.8838431024,3,3
"ABG_15","S7",20.1963236292388,26468.12125,17.2,18.5,6.65,1.33573246259477,3.0450198646018,2926.87750630624,3562806.88276201,52708.3263360825,0.979315018169384,29712.0340391226,5,3
"ABG_15","S8",5.25685860594621,25205.73,8.25,15.95,6.4,2.0929397333335,1.65157420600822,2689.43554544113,1386488.96183641,133304.925284232,0.462964943544289,16860.0497976976,3,3
