plot,subplot,scan_num,file
P12,8,1,2019.03.18-08.28.40.zfs            
P12,9,1,2019.03.18-08.39.02.zfs            
P14,1,1,2019.03.21-10.42.37.zfs                
P14,2,1,2019.03.21-10.53.18.zfs                
P14,3,1,2019.03.21-11.04.31.zfs                
P14,4,1,2019.03.21-11.23.03.zfs                
P14,5,1,2019.03.21-11.33.41.zfs                
P14,6,1,2019.03.21-11.44.14.zfs                
P14,7,1,2019.03.21-11.54.30.zfs                
P14,8,1,2019.03.21-12.05.37.zfs                
P14,9,1,2019.03.21-12.23.11.zfs                
P13,1,1,2019.03.19-07.20.44.zfs                
P13,2,1,2019.03.19-07.48.03.zfs                
P13,3,1,2019.03.19-08.21.34.zfs                
P13,3,2,2019.03.19-08.31.49.zfs                
P13,4,1,2019.03.19-09.10.05.zfs                
P13,5,1,2019.03.19-09.43.00.zfs                
P13,5,2,2019.03.19-09.53.07.zfs                
P13,6,1,2019.03.19-10.31.00.zfs                
P13,6,2,2019.03.19-10.41.30.zfs                
P13,7,1,2019.03.19-11.13.57.zfs                
P13,8,1,2019.03.19-11.41.33.zfs                
P13,9,1,2019.03.19-12.14.10.zfs                
P13,9,2,2019.03.19-12.26.35.zfs                
P14,1,1,2019.03.21-10.42.37.zfs            
P14,2,1,2019.03.21-10.53.18.zfs            
P14,3,1,2019.03.21-11.04.31.zfs            
P14,4,1,2019.03.21-11.23.03.zfs            
P14,5,1,2019.03.21-11.33.41.zfs            
P14,6,1,2019.03.21-11.44.14.zfs            
P14,7,1,2019.03.21-11.54.30.zfs            
P14,8,1,2019.03.21-12.05.37.zfs            
P14,9,1,2019.03.21-12.23.11.zfs            
P15,1,1,2019.03.23-07.33.00.zfs            
P15,2,1,2019.03.23-08.07.10.zfs            
P15,2,2,2019.03.23-08.16.56.zfs            
P15,3,1,2019.03.23-08.51.38.zfs            
P15,4,1,2019.03.23-09.24.16.zfs            
P15,4,2,2019.03.23-09.34.05.zfs            
P15,5,1,2019.03.23-10.05.12.zfs            
P15,6,1,2019.03.23-10.37.33.zfs            
P15,6,2,2019.03.23-10.47.56.zfs            
P15,7,1,2019.03.23-11.19.46.zfs            
P15,8,1,2019.03.23-11.52.20.zfs            
P15,9,1,2019.03.23-12.19.05.zfs            
